사업부,브랜드,고객,RF상권,시즌,당시즌/과시즌,정상/이관/이월,상품,PH01-1,PH01-2,PH01-3,MTyp,유통채널,판매수량,1. 매출액 Actual,제품/상품 매출액 Actual,판매금액(TAG가),실판매액,실판매액(V-),수수료차감매출 Actual,출고매출액(V-) Actual,관리매출액,마일리지 매출액,기타 매출액,2. 매출원가 Actual,표준 매출원가,표준 외주가공비,표준 부재료비,제품/상품기타COGS,기타 매출원가 Actual,기타 매출원가,기타 매출원가_재고자산폐기,3. 매출총이익 Actual,지급수수료-판매수수료,BUn,통화
10,X,105762.0,N,24N,A,A,X24NDXBN5574N,A0100,A0100A0140,A0100A0140A0140001,ZFRT,6.0,1,23755,23755,39000,39000,35455,26131,23755,0,0,0,7170,7170,7170,0,0,0,0,0,16585,11700,EA,KRW
10,M,104038.0,N,24N,A,A,M24N3ACPVV34N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,1.0,4,124158,124158,172000,166560,151411,136574,124158,0,0,0,22892,22892,22680,212,0,0,0,0,101266,27253,EA,KRW
10,M,100217.0,N,26N,A,A,M26N3ASXCB16N,A0100,A0100A0150,A0100A0150A0150007,ZFRT,1.0,5,427637,427637,745000,735000,668184,470401,427637,0,0,0,113050,113050,113050,0,0,0,0,0,314587,240547,EA,KRW
10,X,101301.0,N,24F,C,C,X24FDMTP32044,L0100,L0100L0130,L0100L0130L0130016,ZFRT,5.0,24,1125816,1125816,3096000,1238400,1125816,1238398,1125816,0,0,0,580560,580560,580560,0,0,0,0,0,545256,0,EA,KRW
10,M,100027.0,Y,23N,A,A,M23N3ACPD013N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,6.0,1,26727,26727,49000,49000,44545,29400,26727,0,0,0,7400,7400,7370,30,0,0,0,0,19327,17818,EA,KRW
10,I,100804.0,N,24N,A,A,I24N7ACP7704N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,1.0,2,34560,34560,66000,59400,54000,38016,34560,0,0,0,12102,12102,12000,102,0,0,0,0,22458,19440,EA,KRW
10,X,105501.0,N,25N,A,A,X25NDXSH3115N,A0100,A0100A0150,A0100A0150A0150005,ZFRT,11.0,4,396364,396364,436000,436000,396364,436000,396364,0,0,0,86400,86400,86400,0,0,0,0,0,309964,0,EA,KRW
10,X,104903.0,N,24N,A,A,X24NDKSO2284N,A0100,A0100A0120,A0100A0120A0120044,ZFRT,5.0,29,290000,290000,638000,319000,290000,319000,290000,0,0,0,130500,130500,130500,0,0,0,0,0,159500,0,EA,KRW
10,M,100381.0,N,26S,A,A,M26S3AJPV2161,L0100,L0100L0110,L0100L0110L0110015,ZFRT,1.0,7,1208235,1208235,2093000,2093050,1902733,1329059,1208235,0,0,0,346857,346857,345940,917,0,0,0,0,861378,694498,EA,KRW
10,X,101233.0,N,25F,A,A,X25FDWDJ78056,L0100,L0100L0110,L0100L0110L0110005,ZFRT,7.0,1,203000,203000,319000,223300,203000,223300,203000,0,0,0,71520,71520,71520,0,0,0,0,0,131480,0,EA,KRW
10,I,100739.0,N,26S,A,A,I26S7APTB0161,L0100,L0100L0130,L0100L0130L0130009,ZFRT,1.0,5,165576,165576,295000,289100,262817,182134,165576,0,0,0,58930,58930,58300,630,0,0,0,0,106646,97241,EA,KRW
10,I,100857.0,N,26S,A,A,I26S7FMTA0161,L0100,L0100L0120,L0100L0120L0120009,ZFRT,1.0,1,45875,45875,89000,80100,72818,50463,45875,0,0,0,22376,22376,22250,126,0,0,0,0,23499,26943,EA,KRW
10,X,103724.0,N,25N,A,A,X25NDXBN5575N,A0100,A0100A0140,A0100A0140A0140001,ZFRT,6.0,3,65270,65270,117000,105580,95985,71797,65270,0,0,0,21510,21510,21510,0,0,0,0,0,43760,30715,EA,KRW
10,X,104135.0,N,26S,A,A,X26SDMWJ33061,L0100,L0100L0110,L0100L0110L0110027,ZFRT,11.0,4,760000,760000,836000,836000,760000,836000,760000,0,0,0,196920,196920,196920,0,0,0,0,0,563080,0,EA,KRW
10,M,105540.0,N,25N,A,A,M25N3ARNR025N,A0100,A0100A0150,A0100A0150A0150009,ZFRT,1.0,2,166800,166800,278000,278000,252728,183480,166800,0,0,0,47378,47378,47300,78,0,0,0,0,119422,85928,EA,KRW
10,X,101114.0,N,25F,A,A,X25FDMTL35054,L0100,L0100L0120,L0100L0120L0120016,ZFRT,1.0,1,49980,49980,119000,83300,75727,54978,49980,0,0,0,16100,16100,16100,0,0,0,0,0,33880,25747,EA,KRW
10,M,105792.0,N,26S,A,A,M26S3FTOB0163,L0100,L0100L0120,L0100L0120L0120037,ZFRT,9.0,355,6870379,6870379,17395000,6870379,6870379,6870379,6870379,0,0,0,2251055,2251055,2204550,46505,0,0,0,0,4619324,0,EA,KRW
10,X,102013.0,N,25N,A,A,X25NDXBN5565N,A0100,A0100A0140,A0100A0140A0140001,ZFRT,6.0,1,23045,23045,39000,39000,35454,25350,23045,0,0,0,7710,7710,7710,0,0,0,0,0,15335,12409,EA,KRW
10,ST,105495.0,N,26S,A,A,ST26STWPT10261,L0100,L0100L0130,L0100L0130L0130009,ZFRT,11.0,3,316635,316635,387000,348300,316635,348299,316635,0,0,0,80370,80370,80370,0,0,0,0,0,236265,0,EA,KRW
10,M,103449.0,N,26S,A,A,M26S3FTSM0963,L0100,L0100L0120,L0100L0120L0120018,ZFRT,6.0,1,45994,45994,79000,76650,69688,50593,45994,0,0,0,11371,11371,11240,131,0,0,0,0,34623,23694,EA,KRW
