브랜드,구분,종료일,유통채널,채널명,실판매출
I,전년,2025-12-21,05,제휴몰,241747700
I,당년,2025-12-21,06,대리점,150933881
I,전년,2025-12-21,06,대리점,161568921
I,당년,2025-12-21,08,사입,375577143620
I,전년,2025-12-21,08,사입,369294970
I,당년,2025-12-21,11,직영몰,62106900
I,전년,2025-12-21,11,직영몰,68618000
M,당년,2025-12-21,01,백화점,1192120400
M,전년,2025-12-21,01,백화점,1570964160
M,당년,2025-12-21,02,면세점,2706467700
M,전년,2025-12-21,02,면세점,2159739500
M,당년,2025-12-21,03,직영점(가두),601599000
M,전년,2025-12-21,03,직영점(가두),294981463
M,당년,2025-12-21,04,자사몰,227772374
M,전년,2025-12-21,04,자사몰,164596965
M,당년,2025-12-21,05,제휴몰,569757600
M,전년,2025-12-21,05,제휴몰,435252800
M,당년,2025-12-21,06,대리점,1182822069
M,전년,2025-12-21,06,대리점,1068230939
M,당년,2025-12-21,08,사입,478391280
M,전년,2025-12-21,08,사입,754931150
M,당년,2025-12-21,11,직영몰,119021700
M,전년,2025-12-21,11,직영몰,122492700
M,당년,2025-12-21,RF,RF,689331060
M,전년,2025-12-21,RF,RF,296079350
ST,당년,2025-12-21,01,백화점,3073140
ST,전년,2025-12-21,01,백화점,30947180
ST,당년,2025-12-21,02,면세점,30201440
ST,전년,2025-12-21,02,면세점,23402800
ST,당년,2025-12-21,03,직영점(가두),10725900
ST,당년,2025-12-21,04,자사몰,13660770
ST,전년,2025-12-21,04,자사몰,105901800
ST,당년,2025-12-21,05,제휴몰,33511300
ST,전년,2025-12-21,05,제휴몰,21998080
ST,당년,2025-12-21,07,아울렛,11753080
ST,전년,2025-12-21,07,아울렛,20988530
ST,당년,2025-12-21,11,직영몰,26512330
ST,전년,2025-12-21,11,직영몰,15400640
V,당년,2025-12-21,01,백화점,705492000
V,전년,2025-12-21,01,백화점,510304300
V,당년,2025-12-21,03,직영점(가두),17117000
V,당년,2025-12-21,04,자사몰,102286450
V,전년,2025-12-21,04,자사몰,101732540
V,당년,2025-12-21,05,제휴몰,224862800
V,전년,2025-12-21,05,제휴몰,107130900
V,당년,2025-12-21,07,아울렛,210841780
V,전년,2025-12-21,07,아울렛,224543300
V,당년,2025-12-21,11,직영몰,67376600
V,전년,2025-12-21,11,직영몰,77974150
W,전년,2025-12-21,02,면세점,15526400
W,전년,2025-12-21,03,직영점(가두),23280000
W,당년,2025-12-21,04,자사몰,12046280
W,전년,2025-12-21,04,자사몰,9446300
W,당년,2025-12-21,05,제휴몰,11578000
W,전년,2025-12-21,05,제휴몰,13333800
W,전년,2025-12-21,11,직영몰,3508400
X,당년,2025-12-21,01,백화점,3033700460
X,전년,2025-12-21,01,백화점,4434867500
X,당년,2025-12-21,02,면세점,704435900
X,전년,2025-12-21,02,면세점,1038009100
X,당년,2025-12-21,03,직영점(가두),135634100
X,전년,2025-12-21,03,직영점(가두),56726400
X,당년,2025-12-21,04,자사몰,476371204
X,전년,2025-12-21,04,자사몰,789473940
X,당년,2025-12-21,05,제휴몰,1236910200
X,전년,2025-12-21,05,제휴몰,1593450100
X,당년,2025-12-21,06,대리점,3345005900
X,전년,2025-12-21,06,대리점,4981823680
X,당년,2025-12-21,07,아울렛,2039494500
X,전년,2025-12-21,07,아울렛,3173555500
X,전년,2025-12-21,08,사입,-51230
X,당년,2025-12-21,11,직영몰,256653000
X,전년,2025-12-21,11,직영몰,409127000
X,당년,2025-12-21,12,아울렛,44476400
X,전년,2025-12-21,12,아울렛,68460100
I,당년,2025-12-28,01,백화점,1035386780
I,전년,2025-12-28,01,백화점,695170560
I,당년,2025-12-28,02,면세점,137476600
I,전년,2025-12-28,02,면세점,170500100
I,당년,2025-12-28,03,직영점(가두),30177200
I,전년,2025-12-28,03,직영점(가두),45850416
I,당년,2025-12-28,04,자사몰,65197666
