브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
ST,4.0,자사몰,과시즌의류,우븐셔츠,WS,138198,123284,112076,112076,24995,87081
ST,4.0,자사몰,과시즌의류,원피스,OP,-177967,-80075,-72795,-72795,-21033,-51762
ST,4.0,자사몰,과시즌의류,트레이닝(상의),TR,2233034,1760518,1600469,1600469,380259,1220210
ST,4.0,자사몰,과시즌의류,패딩,PD,2493521,1484262,1349327,1349327,410298,939029
ST,4.0,자사몰,과시즌의류,팬츠,PT,4321905,3804748,3458865,3458865,735875,2722990
ST,4.0,자사몰,과시즌의류,폴라폴리스점퍼,FD,237620,95048,86407,86407,21603,64804
ST,4.0,자사몰,과시즌의류,폴로 티셔츠,PQ,1065811,988520,898655,898655,203498,695157
ST,4.0,자사몰,당시즌의류,긴팔티셔츠,RL,98428,87194,79267,79267,21157,58110
ST,4.0,자사몰,당시즌의류,니트가디건,KC,2572065,2357780,2143436,2143436,652074,1491362
ST,4.0,자사몰,당시즌의류,니트베스트,KV,138198,138198,125635,125635,31278,94357
ST,4.0,자사몰,당시즌의류,니트풀오버,KP,2016292,1794083,1630986,1630986,522884,1108102
ST,4.0,자사몰,당시즌의류,다운점퍼,DJ,5769500,5267495,4788629,4788629,1958458,2830171
ST,4.0,자사몰,당시즌의류,맨투맨,MT,11856158,10828415,9844014,9844014,2571916,7272098
ST,4.0,자사몰,당시즌의류,반바지,SP,659173,595552,541411,541411,255576,285835
ST,4.0,자사몰,당시즌의류,반팔티셔츠,RS,542848,456837,415309,415309,103847,311462
ST,4.0,자사몰,당시즌의류,방풍자켓,WJ,712861,701417,637653,637653,241369,396284
ST,4.0,자사몰,당시즌의류,스커트,SK,3557344,3266026,2969112,2969112,740789,2228323
ST,4.0,자사몰,당시즌의류,윈드티셔츠,WT,158082,140285,127532,127532,55249,72283
ST,4.0,자사몰,당시즌의류,트레이닝(상의),TR,1028031,971956,883596,883596,235930,647666
ST,4.0,자사몰,당시즌의류,팬츠,PT,1857216,1672529,1520482,1520482,454978,1065504
ST,4.0,자사몰,당시즌의류,폴로 티셔츠,PQ,1796568,1590793,1446175,1446175,425579,1020596
ST,4.0,자사몰,차시즌의류,스커트,SK,138198,121296,110269,110269,32253,78016
ST,4.0,자사몰,차시즌의류,트레이닝(상의),TR,148140,133356,121232,121232,38318,82914
ST,4.0,자사몰,차시즌의류,팬츠,PT,541854,498535,453214,453214,151013,302201
ST,5.0,제휴몰,Acc_etc,머플러,AM,88486,88486,80442,80442,9773,70669
ST,5.0,제휴몰,Acc_etc,보호대,PR,161065,126466,114968,114968,20064,94904
ST,5.0,제휴몰,Acc_etc,양말,SO,669910,669910,609003,609003,143203,465800
ST,5.0,제휴몰,Acc_etc,헤드밴드,HB,53688,53688,48807,48807,7826,40981
ST,5.0,제휴몰,Bag,라켓백,RB,2629731,1083509,985001,985001,524027,460974
ST,5.0,제휴몰,Bag,백팩,BK,543842,543842,494401,494401,132322,362079
ST,5.0,제휴몰,Bag,보스톤백,BW,692976,486972,442701,442701,172797,269904
ST,5.0,제휴몰,Bag,크로스백,CR,275401,196658,178780,178780,73563,105217
ST,5.0,제휴몰,Bag,토드백,TG,552790,473650,430590,430590,129081,301509
ST,5.0,제휴몰,Headwear,비니,BN,430500,430500,391362,391362,90773,300589
ST,5.0,제휴몰,Headwear,선캡,SC,599519,599519,545016,545016,95635,449381
ST,5.0,제휴몰,Headwear,운동모,CP,1915876,1816751,1651579,1651579,343367,1308212
ST,5.0,제휴몰,Headwear,햇,HT,147146,111950,101773,101773,22127,79646
ST,5.0,제휴몰,Shoes,신발,SH,64283740,20504144,18640088,18640088,4829448,13810640
ST,5.0,제휴몰,과시즌의류,긴팔티셔츠,RL,2699326,1414487,1285897,1285897,355010,930887
ST,5.0,제휴몰,과시즌의류,니트가디건,KC,337043,202226,183842,183842,55459,128383
ST,5.0,제휴몰,과시즌의류,니트반팔티셔츠,KU,1702117,865674,786974,786974,189302,597672
ST,5.0,제휴몰,과시즌의류,니트베스트,KV,1285536,563627,512390,512390,130345,382045
ST,5.0,제휴몰,과시즌의류,니트풀오버,KP,2792784,1247755,1134321,1134321,301992,832329
ST,5.0,제휴몰,과시즌의류,다운베스트,DV,7225048,2993021,2720927,2720927,694750,2026177
ST,5.0,제휴몰,과시즌의류,다운점퍼,DJ,85682489,38444573,34949552,34949552,8813253,26136299
ST,5.0,제휴몰,과시즌의류,레깅스,LG,1338230,574464,522239,522239,126364,395875
ST,5.0,제휴몰,과시즌의류,맨투맨,MT,31976331,15447405,14043074,14043074,3798744,10244330
ST,5.0,제휴몰,과시즌의류,반바지,SP,2716228,1596729,1451574,1451574,391414,1060160
ST,5.0,제휴몰,과시즌의류,반팔카라티셔츠,TS,395702,118711,107919,107919,25182,82737
ST,5.0,제휴몰,과시즌의류,반팔티셔츠,RS,3432072,1438348,1307590,1307590,318519,989071
ST,5.0,제휴몰,과시즌의류,방풍자켓,WJ,8823765,4302418,3911282,3911282,1027972,2883310
ST,5.0,제휴몰,과시즌의류,브라,BR,1002181,424535,385938,385938,100397,285541
ST,5.0,제휴몰,과시즌의류,스커트,SK,6295446,3920834,3564388,3564388,930593,2633795
ST,5.0,제휴몰,과시즌의류,원피스,OP,3889416,1422043,1292766,1292766,317117,975649
ST,5.0,제휴몰,과시즌의류,점퍼,JP,7048076,2874708,2613367,2613367,655869,1957498
ST,5.0,제휴몰,과시즌의류,트레이닝(상의),TR,8895350,4092537,3720484,3720484,971109,2749375
ST,5.0,제휴몰,과시즌의류,트레이닝(하의),TP,9028576,3611430,3283110,3283110,820782,2462328
ST,5.0,제휴몰,과시즌의류,패딩,PD,2672482,1603489,1457717,1457717,439748,1017969
ST,5.0,제휴몰,과시즌의류,팬츠,PT,27128480,13062354,11874836,11874836,3049431,8825405
ST,5.0,제휴몰,과시즌의류,폴라폴리스점퍼,FD,1900962,760385,691258,691258,172818,518440
ST,5.0,제휴몰,과시즌의류,폴로 티셔츠,PQ,7174343,3444897,3131728,3131728,811750,2319978
