브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
ST,5.0,제휴몰,과시즌의류,점퍼,JP,20782000,8340680,7582429,7582429,2071503,5510926
ST,5.0,제휴몰,과시즌의류,트레이닝 숏팬츠,TB,99000,29700,27000,27000,6300,20700
ST,5.0,제휴몰,과시즌의류,트레이닝(상의),TR,19245000,9402300,8547534,8547534,2428639,6118895
ST,5.0,제휴몰,과시즌의류,트레이닝(하의),TP,19504000,7801600,7092343,7092343,1950400,5141943
ST,5.0,제휴몰,과시즌의류,패딩,PD,6391000,3834600,3485995,3485995,1150380,2335615
ST,5.0,제휴몰,과시즌의류,팬츠,PT,71043000,33433190,30393756,30393756,8155577,22238179
ST,5.0,제휴몰,과시즌의류,폴라폴리스점퍼,FD,2629000,1051600,955999,955999,262900,693099
ST,5.0,제휴몰,과시즌의류,폴로 티셔츠,PQ,9915000,4783500,4348634,4348634,1165246,3183388
ST,5.0,제휴몰,과시즌의류,후드티,HD,10937000,4951000,4500895,4500895,1278671,3222224
ST,5.0,제휴몰,당시즌의류,긴팔티셔츠,RL,594000,594000,540000,540000,127680,412320
ST,5.0,제휴몰,당시즌의류,니트가디건,KC,1154000,1154000,1049090,1049090,289870,759220
ST,5.0,제휴몰,당시즌의류,니트풀오버,KP,1372000,1372000,1247270,1247270,393850,853420
ST,5.0,제휴몰,당시즌의류,다운점퍼,DJ,8436000,8436000,7669091,7669091,2900210,4768881
ST,5.0,제휴몰,당시즌의류,맨투맨,MT,10602000,10602000,9638173,9638173,2253150,7385023
ST,5.0,제휴몰,당시즌의류,반바지,SP,634000,634000,576363,576363,206300,370063
ST,5.0,제휴몰,당시즌의류,반팔티셔츠,RS,468000,468000,425460,425460,91990,333470
ST,5.0,제휴몰,당시즌의류,방풍자켓,WJ,0,0,0,0,0,0
ST,5.0,제휴몰,당시즌의류,스커트,SK,3635000,3635000,3304543,3304543,763460,2541083
ST,5.0,제휴몰,당시즌의류,트레이닝(상의),TR,1253000,1253000,1139089,1139089,287700,851389
ST,5.0,제휴몰,당시즌의류,팬츠,PT,3136000,3136000,2850906,2850906,745410,2105496
ST,5.0,제휴몰,당시즌의류,폴로 티셔츠,PQ,2423000,2423000,2202727,2202727,584340,1618387
ST,5.0,제휴몰,당시즌의류,후드티,HD,149000,149000,135454,135454,34290,101164
ST,5.0,제휴몰,차시즌의류,트레이닝(상의),TR,149000,149000,135454,135454,38540,96914
ST,5.0,제휴몰,차시즌의류,팬츠,PT,436000,436000,396364,396364,120300,276064
ST,7.0,아울렛,Acc_etc,보호대,PR,30000,20000,18181,18181,3720,14461
ST,7.0,아울렛,Acc_etc,양말,SO,1642200,1492140,1356489,1356489,276680,1079809
ST,7.0,아울렛,Acc_etc,헤드밴드,HB,29000,26100,23727,23727,6280,17447
ST,7.0,아울렛,Bag,라켓백,RB,996000,542000,492725,492725,370540,122185
ST,7.0,아울렛,Bag,백팩,BK,1582000,698200,634729,634729,447040,187689
ST,7.0,아울렛,Bag,크로스백,CR,99000,39600,36000,36000,25620,10380
ST,7.0,아울렛,Bag,토드백,TG,1064000,460100,418275,418275,268860,149415
ST,7.0,아울렛,Headwear,선캡,SC,700000,491780,447070,447070,147650,299420
ST,7.0,아울렛,Headwear,운동모,CP,2329000,1915330,1741209,1741209,392582,1348627
ST,7.0,아울렛,Headwear,햇,HT,59000,21950,19954,19954,3755,16199
ST,7.0,아울렛,Shoes,신발,SH,2827000,724430,658563,658563,369719,288844
ST,7.0,아울렛,과시즌의류,긴팔티셔츠,RL,5257000,2464300,2240265,2240265,752086,1488179
ST,7.0,아울렛,과시즌의류,니트가디건,KC,7057000,3204660,2913329,2913329,1028395,1884934
ST,7.0,아울렛,과시즌의류,니트반팔티셔츠,KU,199000,89550,81409,81409,23519,57890
ST,7.0,아울렛,과시즌의류,니트풀오버,KP,2509000,1274820,1158922,1158922,451620,707302
ST,7.0,아울렛,과시즌의류,다운베스트,DV,24081000,9003770,8185227,8185227,2553140,5632087
ST,7.0,아울렛,과시즌의류,다운점퍼,DJ,98222000,38372040,34883613,34883613,10921880,23961733
ST,7.0,아울렛,과시즌의류,레깅스,LG,89000,48060,43691,43691,16020,27671
ST,7.0,아울렛,과시즌의류,맨투맨,MT,32845000,15683290,14257499,14257499,4989323,9268176
ST,7.0,아울렛,과시즌의류,반바지,SP,1148000,524440,476763,476763,142776,333987
ST,7.0,아울렛,과시즌의류,반팔티셔츠,RS,2104000,819250,744767,744767,231047,513720
ST,7.0,아울렛,과시즌의류,방풍자켓,WJ,9800000,4384370,3985788,3985788,1226379,2759409
ST,7.0,아울렛,과시즌의류,스커트,SK,10153000,4738050,4307302,4307302,1475903,2831399
ST,7.0,아울렛,과시즌의류,여성하의 스코트,SR,159000,50880,46254,46254,15900,30354
ST,7.0,아울렛,과시즌의류,원피스,OP,239000,86040,78218,78218,23900,54318
ST,7.0,아울렛,과시즌의류,점퍼,JP,3339000,1401770,1274332,1274332,374482,899850
ST,7.0,아울렛,과시즌의류,트레이닝(상의),TR,20717000,10038270,9125674,9125674,2736662,6389012
ST,7.0,아울렛,과시즌의류,트레이닝(하의),TP,3526000,1270210,1154732,1154732,352600,802132
ST,7.0,아울렛,과시즌의류,패딩,PD,4600000,2566440,2333125,2333125,828000,1505125
ST,7.0,아울렛,과시즌의류,팬츠,PT,28404000,14347460,13043122,13043122,3999548,9043574
ST,7.0,아울렛,과시즌의류,폴라폴리스점퍼,FD,0,0,0,0,0,0
ST,7.0,아울렛,과시즌의류,폴로 티셔츠,PQ,7547000,3529380,3208510,3208510,1083977,2124533
ST,7.0,아울렛,과시즌의류,후드티,HD,4440000,2104450,1913134,1913134,656083,1257051
ST,7.0,아울렛,당시즌의류,니트풀오버,KP,636000,588300,534818,534818,152640,382178
ST,7.0,아울렛,당시즌의류,맨투맨,MT,497000,442670,402423,402423,100910,301513
ST,7.0,아울렛,당시즌의류,스커트,SK,1311000,1129020,1026378,1026378,253560,772818
ST,7.0,아울렛,당시즌의류,팬츠,PT,298000,279100,253727,253727,86100,167627
ST,7.0,아울렛,당시즌의류,폴로 티셔츠,PQ,-119000,-119000,-108181,-108181,-20810,-87371
ST,11.0,직영몰,Acc_etc,보호대,PR,205000,157000,142730,142730,23300,119430
ST,11.0,직영몰,Acc_etc,양말,SO,1106600,888780,807984,807984,172160,635824
ST,11.0,직영몰,Acc_etc,헤드밴드,HB,74000,61600,56000,56000,13031,42969
