브랜드,시즌,유통채널,채널명,고객,PH01-1,아이템_대분류,PH01-2,아이템_중분류,PH01-3,아이템코드,아이템_소분류,합계 : 1. 매출액 Actual,합계 : 제품/상품 매출액 Actual,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 수수료차감매출 Actual,합계 : 출고매출액(V-) Actual,합계 : 2. 매출원가 Actual,합계 : 표준 매출원가,표준제간비,재고평가감 환입,매출원가(평가감환입반영),매출총이익
X,24F,1.0,백화점,104850.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130009,PT,팬츠,-62580,-62580,-149000,-89400,-81273,-68838,-62580,-29440,-29440,-1678,9528,-21590,-40990
X,24F,1.0,백화점,104850.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130014,SP,반바지,0,0,0,0,0,0,0,0,0,0,0,0,0
X,24F,1.0,백화점,104851.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,306818,306818,750000,450000,409091,337500,306818,168000,168000,9576,-67772,109804,197014
X,24F,1.0,백화점,105191.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),4000274,4000274,15748000,6283400,5712169,4400302,4000274,3133920,3133920,178633,-1029414,2283139,1717135
X,24F,1.0,백화점,105191.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),3246390,3246390,10677000,5101470,4637667,3571029,3246390,1959440,1959440,111688,-532604,1538524,1707866
X,24F,1.0,백화점,105193.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),2022533,2022533,7466000,3133550,2848670,2224786,2022533,1517500,1517500,86497,-519770,1084227,938306
X,24F,1.0,백화점,105193.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),1004698,1004698,3220000,1556600,1415084,1105168,1004698,631240,631240,35980,-200930,466290,538408
X,24F,1.0,백화점,105541.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,1367924,1367924,5664000,2293510,2084994,1504716,1367924,1602590,1602590,91347,-845673,848264,519660
X,24F,1.0,백화점,105541.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110027,WJ,방풍자켓,36615,36615,179000,53710,48820,40277,36615,34910,34910,1989,-10989,25910,10705
X,24F,1.0,백화점,105541.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120009,MT,맨투맨,121500,121500,297000,178200,162000,133650,121500,59580,59580,3396,-19890,43086,78414
X,24F,1.0,백화점,105541.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120016,TL,긴팔카라티셔츠,48682,48682,119000,71400,64909,53550,48682,13460,13460,767,2442,16669,32013
X,24F,1.0,백화점,105541.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),393522,393522,1698000,617610,561447,432874,393522,376830,376830,21479,-149915,248394,145128
X,24F,1.0,백화점,105541.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130009,PT,팬츠,-16228,-16228,0,-23800,-21638,-17851,-16228,0,0,0,0,0,-16228
X,24F,1.0,백화점,105541.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),294645,294645,1370000,491310,446640,324109,294645,325530,325530,18555,-142448,201637,93008
X,24F,1.0,백화점,106108.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),739403,739403,2766000,1268400,1153092,813344,739403,613170,613170,34950,-243531,404589,334814
X,24F,1.0,백화점,106108.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),1042567,1042567,4075000,1772190,1611079,1146824,1042567,990760,990760,56473,-446191,601042,441525
X,24F,3.0,직영점(가두),106017.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,217636,217636,399000,239400,217636,239400,217636,82930,82930,4727,-29609,58048,159588
X,24F,5.0,제휴몰,101301.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,25137168,25137168,54829000,27650900,25137168,27650886,25137168,11345030,11345030,646666,-4017881,7973815,17163353
X,24F,5.0,제휴몰,101301.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110007,DV,다운베스트,108545,108545,199000,119400,108545,119400,108545,36860,36860,2101,-10266,28695,79850
X,24F,5.0,제휴몰,101301.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110024,SS,소프트쉘,548996,548996,1170000,603900,548996,603896,548996,225970,225970,12880,-69615,169235,379761
X,24F,5.0,제휴몰,101301.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110027,WJ,방풍자켓,244092,244092,537000,268500,244092,268501,244092,98370,98370,5607,-26607,77370,166722
X,24F,5.0,제휴몰,101301.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120004,HD,후드티,0,0,0,0,0,0,0,0,0,0,0,0,0
X,24F,5.0,제휴몰,101301.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120009,MT,맨투맨,197819,197819,455000,217600,197819,217601,197819,74690,74690,4257,-13885,65062,132757
X,24F,5.0,제휴몰,101301.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120010,OP,원피스,57818,57818,159000,63600,57818,63600,57818,32100,32100,1829,-10851,23078,34740
X,24F,5.0,제휴몰,101301.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),382911,382911,1053000,421200,382911,421202,382911,221640,221640,12633,-80920,153353,229558
X,24F,5.0,제휴몰,101301.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130008,LG,레깅스,194183,194183,534000,213600,194183,213601,194183,118780,118780,6770,-47418,78132,116051
X,24F,5.0,제휴몰,101301.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130009,PT,팬츠,186000,186000,437000,204600,186000,204600,186000,76840,76840,4379,-18440,62779,123221
X,24F,5.0,제휴몰,101301.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130011,SK,스커트,63182,63182,139000,69500,63182,69500,63182,28580,28580,1629,-10004,20205,42977
X,24F,5.0,제휴몰,101301.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),598909,598909,1647000,658800,598909,658800,598909,298390,298390,17008,-78290,237108,361801
X,24F,5.0,제휴몰,103405.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,33825980,33825980,71364000,37208600,33825980,37208578,33825980,14912320,14912320,850002,-5375494,10386828,23439152
X,24F,5.0,제휴몰,103405.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110024,SS,소프트쉘,1457812,1457812,3056000,1603600,1457812,1603593,1457812,621400,621400,35419,-213007,443812,1014000
X,24F,5.0,제휴몰,103405.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110027,WJ,방풍자켓,81364,81364,179000,89500,81364,89500,81364,32790,32790,1869,-8869,25790,55574
X,24F,5.0,제휴몰,103405.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120009,MT,맨투맨,777276,777276,1989000,855000,777276,855004,777276,324180,324180,18478,-58377,284281,492995
